answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,answer_7,answer_8,answer_9,answer_10,answer_11,answer_12,overall_score
4,1,4,4,5,3,2,3,3,5,5,4,100
2,4,4,5,3,2,4,1,4,4,1,4,100
2,3,4,2,3,5,3,4,2,3,3,1,93
2,3,5,4,2,4,3,1,5,1,2,3,98
3,5,1,4,5,1,4,4,5,1,1,1,100
4,4,5,4,2,4,2,1,2,4,1,2,100
4,4,1,2,2,3,5,2,5,3,2,5,100
3,4,1,4,3,5,1,3,3,2,4,1,99
1,3,5,5,2,2,2,2,2,3,2,4,91
2,2,5,1,1,4,1,5,4,1,4,3,89
4,1,2,5,5,5,1,1,5,2,5,4,100
2,1,2,2,3,5,1,2,2,4,4,3,83
1,4,3,2,3,5,5,2,5,1,3,4,100
4,2,2,4,4,4,4,1,5,3,2,3,100
1,2,3,1,5,3,5,3,2,1,5,5,100
3,5,2,2,4,2,4,3,5,5,4,4,100
2,2,2,4,5,4,1,2,4,4,3,5,100
3,4,2,3,2,4,5,4,2,2,2,3,92
1,2,1,3,1,3,1,5,1,2,1,1,65
1,5,2,1,2,5,2,1,2,1,4,4,87
1,3,1,2,4,4,4,2,1,1,3,1,82
3,2,1,3,1,1,3,5,1,2,1,3,65
3,2,5,5,2,3,2,5,2,2,5,2,100
1,1,2,1,4,2,1,4,3,1,3,3,75
4,4,2,1,5,3,4,1,4,1,5,2,100
5,2,3,2,5,5,5,4,2,3,4,5,100
4,5,3,4,2,4,1,2,1,5,4,3,100
5,4,2,1,1,3,2,1,5,3,4,4,91
5,1,1,5,4,1,3,3,1,1,1,4,76
3,2,5,4,5,2,4,2,1,2,2,5,100
4,1,3,1,3,4,5,4,3,5,2,2,100
1,5,5,5,1,1,2,5,3,5,5,3,100
5,2,1,1,3,3,5,5,5,5,4,1,100
3,1,1,3,4,1,2,3,4,5,1,1,78
1,4,2,5,1,2,3,4,4,2,1,5,98
5,1,5,5,3,5,5,4,2,2,1,3,100
2,1,3,4,4,2,3,1,3,5,4,4,100
4,4,5,3,3,1,1,2,4,4,5,5,100
4,5,5,2,1,3,5,4,4,2,4,4,100
5,1,4,4,4,1,4,1,5,1,1,3,86
3,3,3,3,5,2,2,4,5,4,3,4,100
2,3,2,3,4,3,2,3,5,5,4,3,100
4,2,4,5,3,3,5,4,1,5,4,5,100
1,2,3,1,4,3,2,5,3,3,3,3,91
3,5,3,3,5,1,5,4,1,5,2,1,100
5,1,2,1,5,5,3,1,1,2,5,4,91
3,2,2,3,3,1,1,3,5,4,1,1,79
2,1,3,1,2,2,4,2,4,4,1,2,74
3,5,3,5,3,2,3,3,2,2,2,3,100
5,1,2,4,2,1,4,2,2,4,3,5,92
3,3,5,1,3,3,5,4,5,4,2,4,100
4,3,5,5,3,3,4,4,2,5,2,1,100
1,1,2,1,1,5,3,3,2,3,2,3,79
5,4,5,2,5,1,5,5,5,5,4,2,100
1,4,3,2,1,3,4,1,3,1,5,5,89
4,4,3,1,1,5,2,5,3,3,3,4,100
4,4,1,5,3,4,4,2,3,4,3,1,100
5,2,5,3,4,3,1,1,5,4,5,1,100
2,2,1,4,1,3,5,5,1,1,4,1,88
4,5,4,3,5,3,3,4,1,3,5,2,100
1,5,5,1,5,3,5,2,2,3,2,1,100
2,3,5,4,4,5,2,2,1,1,3,5,100
5,1,2,4,2,3,1,1,4,1,1,3,73
2,4,1,3,2,1,3,5,3,4,4,1,87
4,2,2,4,4,4,5,1,5,1,3,5,100
2,1,1,5,3,1,4,5,2,1,1,2,81
5,1,2,3,4,1,5,3,3,3,2,4,100
2,1,2,4,3,4,2,2,3,3,2,3,82
