artist_name,genre,career_stage,spotify_listeners,monthly_streams,youtube_views,instagram_followers,tiktok_followers,engagement_rate,gigs_per_year,avg_show_revenue,annual_revenue,career_score
Artist 32,Hip-Hop / Rap,Emerging (0–2 yrs),49990,918604,266894,44957,239940,11.3,26,7585.15,141368,51
Artist 33,Jazz,Emerging (0–2 yrs),98226,1446016,611180,140649,458210,5.4,29,413.74,49390,46
Artist 34,Classical,Emerging (0–2 yrs),53502,1036981,461302,57998,120804,6.6,10,1678.21,130896,31
Artist 35,Hip-Hop / Rap,Developing (2–5 yrs),166032,2849157,546325,178491,349090,5.5,22,8942.98,31476,61
Artist 36,Latin,Emerging (0–2 yrs),168669,2097541,364863,332843,528691,11.5,31,1587.97,27048,69
Artist 37,Afrobeats,Emerging (0–2 yrs),32630,642737,200666,62620,126848,7.7,9,3106.51,147801,35
Artist 38,Classical,Developing (2–5 yrs),182095,3342079,994051,359292,630167,3.6,22,4531.53,66694,57
Artist 39,Hip-Hop / Rap,Developing (2–5 yrs),8527,59386,11001,18156,31428,11.9,73,1155.13,51102,30
Artist 40,Indie / Alternative,Developing (2–5 yrs),41888,337939,62697,53665,90838,6.3,69,4447.22,28471,22
Artist 41,Afrobeats,Established (10+ yrs),154444,1380623,431390,458636,551592,11.7,3,2861.24,86234,55
Artist 42,Electronic / EDM,Established (10+ yrs),62161,943485,262312,157432,252766,4.5,32,3158.75,155820,34
Artist 43,Jazz,Mid-Career (5–10 yrs),12078,212677,68623,10503,56523,7.1,59,5255.05,17454,15
Artist 44,R&B / Soul,Established (10+ yrs),17390,273455,44337,21591,40452,9.4,35,1762.24,88693,18
Artist 45,Pop,Mid-Career (5–10 yrs),121287,417513,86197,121331,224449,2.0,9,1718.05,166196,23
Artist 46,Afrobeats,Mid-Career (5–10 yrs),40240,589552,112749,43219,83138,8.9,39,409.09,175269,27
Artist 47,Jazz,Emerging (0–2 yrs),196299,426670,155390,378065,675209,11.2,71,1987.3,84524,47
Artist 48,Jazz,Established (10+ yrs),105961,1797496,675931,185898,455927,11.1,80,3618.33,25621,48
Artist 49,Pop,Emerging (0–2 yrs),151119,1584676,599413,359976,743351,3.8,50,4422.03,35069,57
Artist 50,Pop,Mid-Career (5–10 yrs),129974,2313181,884402,260795,495679,6.9,20,6962.18,129826,68
Artist 51,Indie / Alternative,Established (10+ yrs),105845,601832,94193,261038,125315,7.7,63,3806.45,140001,33
Artist 52,Indie / Alternative,Established (10+ yrs),53839,192411,57015,68859,68477,5.6,69,6945.07,102257,30
Artist 53,Pop,Developing (2–5 yrs),44267,683364,215237,127998,151052,10.1,73,6450.52,118491,44
Artist 54,Pop,Emerging (0–2 yrs),180556,1741045,636747,173377,206097,7.9,53,6597.73,66932,61
Artist 55,Jazz,Emerging (0–2 yrs),49684,785944,144750,52959,66223,6.7,50,7009.64,9664,27
Artist 56,Jazz,Established (10+ yrs),152532,2305778,935801,268269,556747,8.1,74,768.52,19220,56
Artist 57,Indie / Alternative,Emerging (0–2 yrs),153349,2994729,759657,293193,750638,2.3,48,2517.5,107688,62
Artist 58,Latin,Mid-Career (5–10 yrs),146876,488616,210347,415045,558209,4.8,49,6260.88,45139,42
Artist 59,Latin,Mid-Career (5–10 yrs),41003,183913,48269,85314,62677,7.4,29,2758.14,21946,17
Artist 60,Jazz,Emerging (0–2 yrs),131275,2093780,918484,387994,138690,7.2,77,7505.9,156431,65
Artist 61,Afrobeats,Established (10+ yrs),19423,130909,35929,38761,78517,9.3,17,1067.25,63379,18
Artist 62,Electronic / EDM,Established (10+ yrs),98249,873452,147483,220040,284160,11.0,29,8760.39,90286,39
Artist 63,Jazz,Emerging (0–2 yrs),174973,2715611,602193,520432,717103,7.0,79,3098.75,162556,70
Artist 64,Pop,Developing (2–5 yrs),92587,844565,279104,191804,239678,4.4,79,5943.59,175709,47
Artist 65,Hip-Hop / Rap,Mid-Career (5–10 yrs),108546,1887191,792627,207082,507296,9.5,36,4547.05,97665,59
Artist 66,Electronic / EDM,Emerging (0–2 yrs),63527,1033290,300314,74033,286854,5.8,5,1550.3,89535,35
Artist 67,Classical,Developing (2–5 yrs),141612,2584323,940260,266919,673537,6.2,21,8624.1,156289,54
Artist 68,Hip-Hop / Rap,Established (10+ yrs),35888,228978,48589,55365,74299,5.2,64,7128.0,15896,19
Artist 69,Latin,Developing (2–5 yrs),97394,1650616,618362,227669,463161,10.5,61,3483.93,110687,71
Artist 70,Indie / Alternative,Mid-Career (5–10 yrs),27411,463631,158121,75735,52228,6.8,67,2121.05,18788,25
Artist 71,Pop,Developing (2–5 yrs),172565,1931911,427874,288794,434940,3.8,73,5767.19,115558,57
Artist 72,Amapiano,Emerging (0–2 yrs),87284,304948,56373,187856,358514,8.5,71,4250.7,132297,57
Artist 73,Afrobeats,Developing (2–5 yrs),168363,2834979,510410,408117,533625,9.5,44,1250.41,61940,67
Artist 74,Indie / Alternative,Developing (2–5 yrs),35205,126499,22972,70263,106835,1.7,21,6595.78,105504,18
Artist 75,Amapiano,Developing (2–5 yrs),39043,218585,72192,67181,118862,6.0,64,8810.87,12558,31
Artist 76,Electronic / EDM,Emerging (0–2 yrs),31160,265726,79849,32935,114605,2.4,28,4057.91,160509,25
Artist 77,Jazz,Mid-Career (5–10 yrs),110988,1326760,494336,269913,218319,9.0,64,4399.92,139613,44
Artist 78,Electronic / EDM,Developing (2–5 yrs),129650,1866824,484162,196000,334090,10.6,10,1097.91,88437,53
Artist 79,Hip-Hop / Rap,Developing (2–5 yrs),1667,19889,8234,4733,1777,2.3,50,313.18,48872,12
Artist 80,Pop,Emerging (0–2 yrs),139035,1658646,636398,391055,512353,8.0,74,7951.57,174967,76
Artist 81,R&B / Soul,Established (10+ yrs),156740,733350,265163,380246,342664,5.4,63,7225.32,33320,43
Artist 82,Hip-Hop / Rap,Emerging (0–2 yrs),68434,1230957,435425,96110,89228,8.4,16,6057.27,7426,42
Artist 83,Pop,Emerging (0–2 yrs),176024,2109129,673238,155609,678429,11.3,42,494.04,48174,65
Artist 84,Classical,Mid-Career (5–10 yrs),2618,13774,2786,5061,10871,6.6,63,5256.93,42126,12
Artist 85,Latin,Developing (2–5 yrs),22525,125112,30556,29165,42891,8.3,48,2809.23,147594,30
Artist 86,Pop,Emerging (0–2 yrs),199517,2294229,694052,365216,319727,1.6,60,7016.88,170309,69
Artist 87,Latin,Mid-Career (5–10 yrs),127988,1237425,303060,333469,135485,10.9,3,1306.78,29075,43
Artist 88,Pop,Emerging (0–2 yrs),6557,47000,11088,9931,15609,4.7,38,6969.95,51403,14
Artist 89,Amapiano,Established (10+ yrs),178239,2489551,961475,308543,486393,3.5,10,6342.96,47931,62
Artist 90,Latin,Mid-Career (5–10 yrs),117839,2295582,569942,200098,461069,4.1,77,4138.44,87663,63
Artist 91,R&B / Soul,Established (10+ yrs),197913,2858007,805011,283383,732254,2.6,54,4465.87,112442,57
Artist 92,Classical,Emerging (0–2 yrs),141814,1811983,582914,375791,622807,2.5,30,7355.23,38572,50
Artist 93,Indie / Alternative,Mid-Career (5–10 yrs),186813,1669741,634250,503354,921886,8.8,25,1720.81,67863,53
Artist 94,Indie / Alternative,Mid-Career (5–10 yrs),13762,66762,11943,29992,37223,9.4,3,7502.41,127885,21
Artist 95,Amapiano,Emerging (0–2 yrs),86292,871779,242687,103296,399123,8.9,58,4809.45,48668,60
Artist 96,Indie / Alternative,Established (10+ yrs),62224,393812,148437,119009,146658,2.3,56,7377.27,35072,26
Artist 97,Afrobeats,Emerging (0–2 yrs),132945,992225,375304,281085,348667,3.9,56,861.24,126313,60
Artist 98,Jazz,Established (10+ yrs),118311,1560416,415010,351600,268345,6.1,32,2748.6,29635,36
Artist 99,Latin,Mid-Career (5–10 yrs),7509,92455,13979,10684,27079,8.9,7,4398.17,111932,16
Artist 100,Jazz,Emerging (0–2 yrs),161391,3137889,650152,319167,741809,9.3,27,674.67,5302,59
Artist 101,Indie / Alternative,Emerging (0–2 yrs),96271,632919,233986,287367,155314,9.6,35,1480.08,162113,43
Artist 102,Afrobeats,Emerging (0–2 yrs),60640,326541,67666,50072,128454,9.4,67,5488.18,49646,33
Artist 103,Afrobeats,Established (10+ yrs),28606,510091,92263,75372,60587,11.9,33,1298.66,179340,38
Artist 104,Pop,Emerging (0–2 yrs),111423,1383968,217327,231119,288803,8.7,41,7635.26,50500,56
Artist 105,Indie / Alternative,Mid-Career (5–10 yrs),76473,1031320,166374,166613,319641,1.6,20,5070.54,5152,28
Artist 106,Electronic / EDM,Developing (2–5 yrs),116152,411525,165585,186758,530518,2.3,8,4213.33,81037,39
Artist 107,Latin,Emerging (0–2 yrs),1104,16023,6116,1332,4966,3.0,69,3301.92,35029,17
Artist 108,Jazz,Mid-Career (5–10 yrs),163908,1734621,403882,452776,398186,4.8,7,6517.07,58917,39
Artist 109,Afrobeats,Emerging (0–2 yrs),118981,1384258,216137,339884,470201,3.8,73,3657.97,82428,58
Artist 110,Electronic / EDM,Established (10+ yrs),15037,291369,81589,40820,73617,4.8,68,3615.17,70621,26
Artist 111,Pop,Emerging (0–2 yrs),182638,883796,183579,163836,326539,4.2,11,2034.05,129309,40
Artist 112,Hip-Hop / Rap,Established (10+ yrs),33099,630904,143366,51692,149154,6.2,45,1331.98,163978,29
Artist 113,Hip-Hop / Rap,Emerging (0–2 yrs),73789,1006646,354033,193542,239122,5.7,10,3702.5,136178,49
Artist 114,Jazz,Developing (2–5 yrs),65621,782341,292207,143416,187589,7.0,78,4639.73,81681,44
Artist 115,Classical,Developing (2–5 yrs),192298,1488394,287536,431472,486961,7.0,12,3571.06,158036,47
Artist 116,Classical,Emerging (0–2 yrs),128785,1075178,317192,227717,516082,5.7,69,7179.29,46177,50
Artist 117,Latin,Developing (2–5 yrs),164298,851237,166225,384913,744773,1.8,73,8246.67,22120,53
Artist 118,Latin,Established (10+ yrs),156989,1833567,413757,104480,185987,5.9,56,1260.86,67869,46
Artist 119,Afrobeats,Developing (2–5 yrs),83610,477299,79234,143812,182382,2.0,53,2235.98,99959,29
Artist 120,Afrobeats,Emerging (0–2 yrs),81272,624806,116028,196280,387350,8.6,50,7737.45,49564,56
Artist 121,Electronic / EDM,Developing (2–5 yrs),178676,2602719,426835,110934,593385,4.1,41,8682.13,62551,57
Artist 122,Latin,Mid-Career (5–10 yrs),80420,164859,34138,207793,118541,7.2,40,8549.13,104321,38
Artist 123,Hip-Hop / Rap,Emerging (0–2 yrs),72277,1201396,523677,174105,270586,5.9,12,5053.88,18716,41
Artist 124,Electronic / EDM,Mid-Career (5–10 yrs),93293,1612071,522403,217123,450997,10.1,75,8411.96,138591,64
Artist 125,Indie / Alternative,Emerging (0–2 yrs),198857,3132304,1118637,401071,338240,7.2,36,6156.7,142942,74
Artist 126,Pop,Developing (2–5 yrs),88538,1710808,407925,150073,270766,3.7,67,2259.15,63010,49
Artist 127,Electronic / EDM,Developing (2–5 yrs),101441,266442,64490,186567,185877,5.3,17,3688.09,98704,30
Artist 128,Jazz,Mid-Career (5–10 yrs),112816,2212072,648464,297445,292101,5.3,74,6991.14,75341,49
Artist 129,Indie / Alternative,Emerging (0–2 yrs),181034,2547004,457813,443580,760933,8.4,25,2211.43,96827,63
Artist 130,Jazz,Mid-Career (5–10 yrs),161825,1300223,394395,414754,652913,6.5,22,4581.82,91578,46
Artist 131,Indie / Alternative,Developing (2–5 yrs),162890,1241198,462813,130727,173894,7.4,31,1760.53,158556,41
Artist 132,Pop,Developing (2–5 yrs),137482,1907627,711880,182989,490414,9.0,58,3018.64,172290,66
Artist 133,R&B / Soul,Developing (2–5 yrs),145380,2753730,758739,102837,490944,2.9,62,5288.5,52721,64
Artist 134,Pop,Established (10+ yrs),27573,329856,145008,34121,33156,10.5,68,3527.42,67589,28
Artist 135,R&B / Soul,Emerging (0–2 yrs),67666,617928,181815,86180,137870,6.6,35,1203.87,135749,34
Artist 136,Indie / Alternative,Established (10+ yrs),106145,368469,164884,96244,174172,7.4,39,4683.18,74633,27
Artist 137,Electronic / EDM,Developing (2–5 yrs),153307,2263856,726612,95571,684887,3.6,66,3495.24,11055,56
Artist 138,Amapiano,Mid-Career (5–10 yrs),73137,1148403,277803,208658,87610,8.0,27,1058.93,128138,45
Artist 139,Amapiano,Mid-Career (5–10 yrs),163138,491099,204006,463639,265561,2.4,64,8215.92,2883,44
Artist 140,Amapiano,Mid-Career (5–10 yrs),176485,574381,115643,389438,434866,4.2,20,4736.61,69547,45
Artist 141,Electronic / EDM,Emerging (0–2 yrs),108944,694359,164189,96467,221568,4.7,25,6814.15,58940,40
Artist 142,Electronic / EDM,Developing (2–5 yrs),125734,762417,222752,98134,147210,8.7,57,1428.01,174735,44
Artist 143,Classical,Developing (2–5 yrs),19477,266210,112329,53639,76701,5.1,50,1977.49,13692,18
Artist 144,Classical,Emerging (0–2 yrs),122862,363547,88458,254116,514279,8.0,52,5725.37,133710,40
Artist 145,Latin,Established (10+ yrs),86216,626015,143624,64559,185815,6.2,21,6651.61,89627,27
Artist 146,R&B / Soul,Developing (2–5 yrs),49498,898029,228970,100448,200281,11.9,74,7323.37,177817,53
Artist 147,Electronic / EDM,Developing (2–5 yrs),91441,1223711,320868,109633,175831,9.2,38,7657.21,164695,51
Artist 148,Hip-Hop / Rap,Emerging (0–2 yrs),92424,385497,129213,221551,461393,5.7,72,6272.72,159810,53
Artist 149,R&B / Soul,Emerging (0–2 yrs),146555,2539369,1126754,249827,165808,8.2,37,1907.81,90774,65
Artist 150,Pop,Emerging (0–2 yrs),19702,254080,90317,34405,50851,2.9,15,6413.71,75590,21
Artist 151,Afrobeats,Established (10+ yrs),87699,1288150,404520,52718,108218,6.8,27,6299.36,167474,41
Artist 152,Hip-Hop / Rap,Emerging (0–2 yrs),68370,800561,300572,158122,308574,8.6,28,4014.45,127309,49
Artist 153,R&B / Soul,Developing (2–5 yrs),116484,1339573,418171,242213,488293,9.9,12,7744.21,113281,60
Artist 154,Indie / Alternative,Mid-Career (5–10 yrs),159433,1040130,292630,471437,307433,8.6,35,1574.33,92373,41
Artist 155,Jazz,Emerging (0–2 yrs),33250,429640,174503,45951,37396,11.1,39,6428.29,79159,33
Artist 156,R&B / Soul,Emerging (0–2 yrs),115335,1874147,569252,174185,412576,4.7,26,1709.69,106125,64
Artist 157,Electronic / EDM,Developing (2–5 yrs),112125,1052032,324326,136572,141872,10.4,14,6088.89,59736,39
Artist 158,Latin,Established (10+ yrs),166901,651877,116245,338612,339090,2.7,30,2558.72,125236,39
Artist 159,Pop,Developing (2–5 yrs),102936,673227,267350,159710,475418,2.8,47,5027.3,7697,36
Artist 160,Electronic / EDM,Developing (2–5 yrs),136814,1181672,457583,407738,166039,8.7,32,6768.88,36301,47
Artist 161,Pop,Established (10+ yrs),169861,1635391,693198,278338,585962,11.6,76,1967.51,73160,59
Artist 162,Amapiano,Developing (2–5 yrs),169911,1908030,804928,212274,432609,11.6,13,8786.43,96490,73
Artist 163,Classical,Developing (2–5 yrs),10272,181847,64720,28739,19423,11.8,70,7774.61,175205,25
Artist 164,Latin,Mid-Career (5–10 yrs),59173,939510,212381,87911,70216,5.1,79,1211.06,27204,27
Artist 165,Hip-Hop / Rap,Emerging (0–2 yrs),98387,1184439,328132,224940,179950,6.8,55,6803.13,104624,62
Artist 166,Amapiano,Developing (2–5 yrs),88423,1084847,412262,233505,412506,2.0,77,7677.44,100281,55
Artist 167,Pop,Emerging (0–2 yrs),186289,2868920,1165814,328183,237375,3.2,32,3814.69,170193,64
Artist 168,Pop,Emerging (0–2 yrs),145366,1641685,682777,253614,368451,4.5,12,3144.46,123577,60
Artist 169,Afrobeats,Mid-Career (5–10 yrs),45655,256195,58007,32962,103925,7.8,47,1351.44,56715,20
Artist 170,Electronic / EDM,Developing (2–5 yrs),167372,3118342,710755,286376,182167,3.1,33,1537.7,143016,56
Artist 171,Hip-Hop / Rap,Emerging (0–2 yrs),197966,3871799,1228235,520910,331714,4.7,79,7002.02,35395,78
Artist 172,Afrobeats,Mid-Career (5–10 yrs),179406,2539821,414174,387702,356943,7.8,31,4404.19,73125,65
Artist 173,R&B / Soul,Developing (2–5 yrs),6846,101040,41379,12183,18898,8.7,47,7760.56,67409,21
Artist 174,Indie / Alternative,Developing (2–5 yrs),191981,3068927,828131,371189,877452,9.9,24,8796.39,134592,67
Artist 175,Electronic / EDM,Emerging (0–2 yrs),112718,1295174,480425,81450,251635,4.6,33,4688.02,138660,49
Artist 176,Amapiano,Emerging (0–2 yrs),177395,829819,148461,363065,333137,6.7,66,6252.74,14038,56
Artist 177,Afrobeats,Emerging (0–2 yrs),131078,2355261,353296,210139,502752,1.7,59,4942.86,34534,62
Artist 178,Indie / Alternative,Emerging (0–2 yrs),94428,1195274,446337,100855,181446,9.3,7,1328.54,12293,35
Artist 179,Afrobeats,Developing (2–5 yrs),141295,2575771,498274,271051,299521,11.0,34,3346.42,22132,65
Artist 180,Classical,Emerging (0–2 yrs),95894,449238,68812,138923,195008,1.8,55,6880.26,51641,31
Artist 181,Pop,Developing (2–5 yrs),93230,1388666,380642,218860,188660,3.0,27,2402.6,74260,44
Artist 182,Pop,Emerging (0–2 yrs),174769,2401563,902939,90050,326721,3.8,3,3033.97,60305,55
Artist 183,Classical,Established (10+ yrs),180789,895245,302983,270714,654635,11.9,79,2284.37,176212,42
Artist 184,Hip-Hop / Rap,Emerging (0–2 yrs),46110,909549,208907,51662,162762,9.2,43,3725.22,54326,40
Artist 185,Jazz,Emerging (0–2 yrs),47256,686926,162956,26890,69143,9.8,2,5602.15,20566,28
Artist 186,Jazz,Emerging (0–2 yrs),127447,1524518,301744,320069,588425,3.3,57,2143.51,148115,50
Artist 187,Afrobeats,Developing (2–5 yrs),171318,622328,201724,264661,704571,4.9,64,4178.99,160037,58
Artist 188,Jazz,Developing (2–5 yrs),47613,449456,159214,47960,169391,11.7,51,3179.86,84923,31
Artist 189,Afrobeats,Emerging (0–2 yrs),161043,723874,144206,403107,369133,11.4,56,3708.44,31396,56
Artist 190,Latin,Mid-Career (5–10 yrs),141532,1043601,381314,374164,356581,9.6,3,3950.2,25890,46
Artist 191,Latin,Mid-Career (5–10 yrs),136943,2247127,378467,213464,476739,2.7,57,8301.18,50629,60
Artist 192,Amapiano,Emerging (0–2 yrs),72959,698992,255488,57129,205825,11.3,49,544.59,62694,45
Artist 193,Hip-Hop / Rap,Developing (2–5 yrs),153366,2370116,699632,324365,592805,1.5,52,5077.09,8974,56
Artist 194,Latin,Established (10+ yrs),83929,1015270,410859,185329,392194,1.9,76,5984.65,28194,43
Artist 195,Electronic / EDM,Developing (2–5 yrs),29571,526920,119900,53383,51195,2.9,44,5945.24,24302,20
Artist 196,Latin,Mid-Career (5–10 yrs),44048,422981,105343,78965,74082,10.6,58,6606.51,47762,28
Artist 197,Pop,Emerging (0–2 yrs),177349,2435993,960398,315766,853242,6.2,69,6392.96,12348,76
Artist 198,Jazz,Established (10+ yrs),181147,2878319,1127387,491753,209118,10.2,36,8313.78,70689,47
Artist 199,Indie / Alternative,Developing (2–5 yrs),77858,1020670,440206,148955,140894,2.8,4,5543.48,80385,34
Artist 200,Classical,Mid-Career (5–10 yrs),118843,858091,195100,204827,474075,9.1,32,7936.94,95942,37
